 retail_chain_id |      centre_id      | retailer_id |                              name                              
              34 | strathpine          |         485 | Katies
              34 | airportwest         |         103 | Katies
              34 | galleria            |       16104 | Katies
              34 | hurstville          |        4034 | Katies
              34 | fountaingate        |        4684 | Katies
              34 | belconnen           |       17467 | Katies
              34 | marion              |       17142 | Katies
              34 | kotara              |       18613 | Katies
              34 | gardencity          |       18807 | Katies
              34 | warringahmall       |       49001 | Katies
              34 | southland           |        3542 | Katies
              34 | hornsby             |       16738 | Katies
              34 | parramatta          |       50646 | Katies
              34 | helensvale          |       46577 | Katies
              34 | carousel            |        1016 | Katies
              34 | eastgardens         |       33780 | Katies
              34 | mtdruitt            |        5113 | Katies
              34 | carindale           |       50153 | Katies 
              34 | plentyvalley        |       33526 | Katies
              34 | woden               |       25714 | Katies
              34 | figtree             |       36553 | Katies
              34 | miranda             |        2877 | Katies
              34 | geelong             |       17992 | Katies
              36 | carindale           |        5341 | Mathers
              36 | tuggerah            |       20335 | Mathers
              36 | woden               |       43530 | Mathers
              36 | gardencity          |       18824 | Mathers
              36 | knox                |       48651 | Mathers
              36 | chermside           |        1253 | Mathers 
              36 | liverpool           |        3189 | Mathers
              36 | belconnen           |       17485 | Mathers 
              36 | northlakes          |       32030 | Mathers
              36 | kotara              |       18642 | Mathers
              36 | hornsby             |        1556 | Mathers
              36 | eastgardens         |        4983 | Mathers Shoes
              36 | penrith             |       24784 | Mathers
              36 | miranda             |        3021 | Mathers
              36 | fountaingate        |        4621 | Mathers
              36 | helensvale          |       25420 | Mathers
              37 | miranda             |        2935 | Nine West
              37 | carindale           |       25495 | Nine West
              37 | bondijunction       |       20968 | Nine West
              37 | doncaster           |       35323 | Nine West
              37 | sydney              |       42534 | Nine West
              37 | southland           |        3531 | Nine West
              37 | sydney              |       42282 | Nine West Sydney Central
              37 | chermside           |       40259 | Nine West
              37 | kotara              |       31889 | Nine West
              40 | geelong             |       45751 | Peter Alexander
              40 | miranda             |       42291 | Peter Alexander
              40 | carindale           |       47875 | Peter Alexander
              40 | parramatta          |       40817 | Peter Alexander
              40 | southland           |       27632 | Peter Alexander
              40 | warringahmall       |       48986 | Peter Alexander
              40 | doncaster           |       35431 | Peter Alexander
              40 | sydney              |       42559 | Peter Alexander
              40 | whitfordcity        |       45522 | Peter Alexander
              40 | chermside           |       29969 | Peter Alexander
              40 | kotara              |       45993 | Peter Alexander
              40 | burwood             |       51891 | Peter Alexander
              40 | fountaingate        |       49349 | Peter Alexander
              40 | knox                |       51513 | Peter Alexander
              40 | carousel            |       45749 | Peter Alexander
              40 | marion              |       45729 | Peter Alexander
              40 | sydneycentralplaza  |       24112 | Peter Alexander
              40 | bondijunction       |       21219 | Peter Alexander 
              41 | carousel            |         934 | Portmans
              41 | parramatta          |        4311 | Portmans
              41 | teatreeplaza        |        3714 | Portmans
              41 | knox                |       48630 | Portmans
              41 | hornsby             |        1549 | Portmans
              41 | fountaingate        |       19103 | Portmans
              41 | northlakes          |       32106 | Portmans
              41 | chatswood           |        1768 | Portmans
              41 | burwood             |         773 | Portmans
              41 | chermside           |        1369 | Portmans
              41 | penrith             |       26451 | Portmans
              41 | carindale           |       47614 | Portmans
              41 | southland           |        3494 | Portmans
              41 | plentyvalley        |       33568 | Portmans
              41 | helensvale          |       25518 | Portmans
              41 | marion              |       17187 | Portmans
              41 | liverpool           |        3193 | Portmans
              41 | whitfordcity        |       21890 | Portmans
              41 | kotara              |       31594 | Portmans
              41 | doncaster           |       35373 | Portmans
              41 | hurstville          |        3999 | Portmans
              41 | tuggerah            |       52019 | Portmans 
              41 | belconnen           |       17514 | Portmans
              41 | galleria            |        1984 | Portmans
              41 | doncaster           |       31151 | Portmans
              41 | miranda             |        2947 | Portmans
              41 | geelong             |       17995 | Portmans
              41 | bondijunction       |        4531 | Portmans
              41 | innaloo             |        1151 | Portmans
              41 | gardencity          |       18860 | Portmans
              42 | chatswood           |       36107 | SABA
              42 | kotara              |       33418 | SABA
              42 | sydney              |       44338 | Saba- Level 4
              42 | chermside           |       29962 | SABA
              42 | bondijunction       |       49180 | Saba
              42 | sydneycentralplaza  |       18145 | Saba
              42 | parramatta          |       37841 | SABA 
              42 | sydney              |       42277 | Saba- Level 2 
              42 | miranda             |       32881 | SABA
              42 | carindale           |       48201 | SABA
              42 | doncaster           |       35327 | SABA
              44 | southland           |       31148 | Sportscraft
              44 | burwood             |       30742 | Sportscraft
              44 | geelong             |       33954 | Sportscraft
              44 | bondijunction       |       49722 | Sportscraft 
              44 | hornsby             |       36209 | Sportscraft
              44 | eastgardens         |       50516 | Sportscraft
